mature_mirna_from_literature	miRBase_Last_Version	miRBase_accession	miRBase_family	organism
hsa-miR-450b-5p	hsa-miR-450b-5p	MIMAT0004909	mir-450	Homo sapiens
hsa-miR-451	hsa-miR-451a	MIMAT0001631	mir-451	Homo sapiens
hsa-miR-452	hsa-miR-452-5p	MIMAT0001635	mir-452	Homo sapiens
hsa-miR-453	hsa-miR-323b-5p	MIMAT0001630	mir-154	Homo sapiens
hsa-miR-454	hsa-miR-454-3p	MIMAT0003885	mir-454	Homo sapiens
hsa-miR-454-3p	hsa-miR-454-3p	MIMAT0003885	mir-454	Homo sapiens
hsa-miR-454-5p	hsa-miR-454-5p	MIMAT0003884	mir-454	Homo sapiens
hsa-miR-455-3p	hsa-miR-455-3p	MIMAT0004784	mir-455	Homo sapiens
hsa-miR-4763-5p	hsa-miR-4763-5p	MIMAT0019912	mir-4763	Homo sapiens
hsa-miR-483	hsa-miR-483-3p	MIMAT0002173	mir-483	Homo sapiens
hsa-miR-483-3p	hsa-miR-483-3p	MIMAT0002173	mir-483	Homo sapiens
hsa-miR-483-5p	hsa-miR-483-5p	MIMAT0004761	mir-483	Homo sapiens
hsa-miR-484	hsa-miR-484	MIMAT0002174	mir-484	Homo sapiens
hsa-miR-485-3p	hsa-miR-485-3p	MIMAT0002176	mir-485	Homo sapiens
hsa-miR-485-5p	hsa-miR-485-5p	MIMAT0002175	mir-485	Homo sapiens
hsa-miR-486	hsa-miR-486-5p	MIMAT0002177	mir-486	Homo sapiens
hsa-miR-486-3p	hsa-miR-486-3p	MIMAT0004762	mir-486	Homo sapiens
hsa-miR-486-5p	hsa-miR-486-5p	MIMAT0002177	mir-486	Homo sapiens
hsa-miR-487b	hsa-miR-487b	MIMAT0003180	mir-154	Homo sapiens
hsa-miR-488	hsa-miR-488-3p	MIMAT0004763	mir-488	Homo sapiens
hsa-miR-489	hsa-miR-489-3p	MIMAT0002805	mir-489	Homo sapiens
hsa-miR-490-3p	hsa-miR-490-3p	MIMAT0002806	mir-490	Homo sapiens
hsa-miR-490-5p	hsa-miR-490-5p	MIMAT0004764	mir-490	Homo sapiens
hsa-miR-491	hsa-miR-491-5p	MIMAT0002807	mir-491	Homo sapiens
hsa-miR-491-3p	hsa-miR-491-3p	MIMAT0004765	mir-491	Homo sapiens
hsa-miR-491-5p	hsa-miR-491-5p	MIMAT0002807	mir-491	Homo sapiens
hsa-miR-492	hsa-miR-492	MIMAT0002812	mir-492	Homo sapiens
hsa-miR-493	hsa-miR-493-3p	MIMAT0003161	mir-493	Homo sapiens
hsa-miR-494	hsa-miR-494	MIMAT0002816	mir-154	Homo sapiens
hsa-miR-495	hsa-miR-495	MIMAT0002817	mir-329	Homo sapiens
hsa-miR-497	hsa-miR-497-5p	MIMAT0002820	mir-497	Homo sapiens
hsa-miR-498	hsa-miR-498	MIMAT0002824	mir-498	Homo sapiens
hsa-miR-499	hsa-miR-499a-5p	MIMAT0002870	mir-499	Homo sapiens
hsa-miR-499-3p	hsa-miR-499a-3p	MIMAT0004772	mir-499	Homo sapiens
hsa-miR-499-5p	hsa-miR-499a-5p	MIMAT0002870	mir-499	Homo sapiens
hsa-miR-500	hsa-miR-500a-5p	MIMAT0004773	mir-500	Homo sapiens
hsa-miR-500*	hsa-miR-500a-3p	MIMAT0002871	mir-500	Homo sapiens
hsa-miR-500a*	hsa-miR-500a-3p	MIMAT0002871	mir-500	Homo sapiens
hsa-miR-500a-3p	hsa-miR-500a-3p	MIMAT0002871	mir-500	Homo sapiens
hsa-miR-500a-5p	hsa-miR-500a-5p	MIMAT0004773	mir-500	Homo sapiens
hsa-miR-501	hsa-miR-501-5p	MIMAT0002872	mir-500	Homo sapiens
hsa-miR-501-3p	hsa-miR-501-3p	MIMAT0004774	mir-500	Homo sapiens
hsa-miR-501-5p	hsa-miR-501-5p	MIMAT0002872	mir-500	Homo sapiens
hsa-miR-502	hsa-miR-502-5p	MIMAT0002873	mir-500	Homo sapiens
hsa-miR-502-3p	hsa-miR-502-3p	MIMAT0004775	mir-500	Homo sapiens
hsa-miR-502-5p	hsa-miR-502-5p	MIMAT0002873	mir-500	Homo sapiens
hsa-miR-503	hsa-miR-503	MIMAT0002874	mir-503	Homo sapiens
hsa-miR-503-5p	hsa-miR-503-5p	MIMAT0002874	mir-503	Homo sapiens
hsa-miR-505	hsa-miR-505-3p	MIMAT0002876	mir-505	Homo sapiens
hsa-miR-505*	hsa-miR-505-5p	MIMAT0004776	mir-505	Homo sapiens
hsa-miR-508-3p	hsa-miR-508-3p	MIMAT0002880	mir-506	Homo sapiens
hsa-miR-508-5p	hsa-miR-508-5p	MIMAT0004778	mir-506	Homo sapiens
hsa-miR-510	hsa-miR-510	MIMAT0002882	mir-506	Homo sapiens
hsa-miR-511	hsa-miR-511	MIMAT0002808	mir-506	Homo sapiens
hsa-miR-512-3p	hsa-miR-512-3p	MIMAT0002823	mir-506	Homo sapiens
hsa-miR-513	hsa-miR-513a-5p	MIMAT0002877	mir-506	Homo sapiens
hsa-miR-513-3p	hsa-miR-513a-3p	MIMAT0004777	mir-506	Homo sapiens
hsa-miR-513a-3p	hsa-miR-513a-3p	MIMAT0004777	mir-506	Homo sapiens
hsa-miR-513a-5p	hsa-miR-513a-5p	MIMAT0002877	mir-506	Homo sapiens
hsa-miR-513b	hsa-miR-513b	MIMAT0005788	mir-506	Homo sapiens
hsa-miR-513c	hsa-miR-513c-5p	MIMAT0005789	mir-506	Homo sapiens
hsa-miR-515-5p	hsa-miR-515-5p	MIMAT0002826	mir-515	Homo sapiens
hsa-miR-516a-3p	hsa-miR-516a-3p	MIMAT0006778	mir-515	Homo sapiens
hsa-miR-516b	hsa-miR-516b-5p	MIMAT0002859	mir-515	Homo sapiens
hsa-miR-516b*	hsa-miR-516b-3p	MIMAT0002860	mir-515	Homo sapiens
hsa-miR-517*	hsa-miR-517-5p	MIMAT0002851	mir-515	Homo sapiens
hsa-miR-517a	hsa-miR-517a-3p	MIMAT0002852	mir-515	Homo sapiens
hsa-miR-517b	hsa-miR-517b-3p	MIMAT0002857	mir-515	Homo sapiens
hsa-miR-517c	hsa-miR-517c-3p	MIMAT0002866	mir-515	Homo sapiens
hsa-miR-518a-3p	hsa-miR-518a-3p	MIMAT0002863	mir-515	Homo sapiens
hsa-miR-518b	hsa-miR-518b	MIMAT0002844	mir-515	Homo sapiens
hsa-miR-518c*	hsa-miR-518c-5p	MIMAT0002847	mir-515	Homo sapiens
hsa-miR-518d	hsa-miR-518d-3p	MIMAT0002864	mir-515	Homo sapiens
hsa-miR-518d-3p	hsa-miR-518d-3p	MIMAT0002864	mir-515	Homo sapiens
hsa-miR-518e	hsa-miR-518e-3p	MIMAT0002861	mir-515	Homo sapiens
hsa-miR-518e*	hsa-miR-518e-5p	MIMAT0005450	mir-515	Homo sapiens
hsa-miR-518f	hsa-miR-518f-3p	MIMAT0002842	mir-515	Homo sapiens
hsa-miR-518f*	hsa-miR-518f-5p	MIMAT0002841	mir-515	Homo sapiens
hsa-miR-519a	hsa-miR-519a-3p	MIMAT0002869	mir-515	Homo sapiens
hsa-miR-519b	hsa-miR-519b-3p	MIMAT0002837	mir-515	Homo sapiens
hsa-miR-519d	hsa-miR-519d	MIMAT0002853	mir-515	Homo sapiens
hsa-miR-519e*	hsa-miR-519e-5p	MIMAT0002828	mir-515	Homo sapiens
hsa-miR-520a	hsa-miR-520a-3p	MIMAT0002834	mir-515	Homo sapiens
hsa-miR-520b	hsa-miR-520b	MIMAT0002843	mir-515	Homo sapiens
hsa-miR-520c-3p	hsa-miR-520c-3p	MIMAT0002846	mir-515	Homo sapiens
hsa-miR-520d-5p	hsa-miR-520d-5p	MIMAT0002855	mir-515	Homo sapiens
hsa-miR-520e	hsa-miR-520e	MIMAT0002825	mir-515	Homo sapiens
hsa-miR-520g	hsa-miR-520g	MIMAT0002858	mir-515	Homo sapiens
hsa-miR-520h	hsa-miR-520h	MIMAT0002867	mir-515	Homo sapiens
hsa-miR-521	hsa-miR-521	MIMAT0002854	mir-515	Homo sapiens
hsa-miR-522	hsa-miR-522-3p	MIMAT0002868	mir-515	Homo sapiens
hsa-miR-523	hsa-miR-523-3p	MIMAT0002840	mir-515	Homo sapiens
hsa-miR-524	hsa-miR-524-3p	MIMAT0002850	mir-515	Homo sapiens
hsa-miR-524*	hsa-miR-524-5p	MIMAT0002849	mir-515	Homo sapiens
hsa-miR-525-3p	hsa-miR-525-3p	MIMAT0002839	mir-515	Homo sapiens
hsa-miR-526a	hsa-miR-526a	MIMAT0002845	mir-515	Homo sapiens
hsa-miR-526c	hsa-miR-519c-5p	MIMAT0002831	mir-515	Homo sapiens
hsa-miR-527	hsa-miR-527	MIMAT0002862	mir-515	Homo sapiens
hsa-miR-532	hsa-miR-532-5p	MIMAT0002888	mir-188	Homo sapiens
hsa-miR-532-3p	hsa-miR-532-3p	MIMAT0004780	mir-188	Homo sapiens
hsa-miR-532-5p	hsa-miR-532-5p	MIMAT0002888	mir-188	Homo sapiens
hsa-miR-542-3p	hsa-miR-542-3p	MIMAT0003389	mir-542	Homo sapiens
hsa-miR-542-5p	hsa-miR-542-5p	MIMAT0003340	mir-542	Homo sapiens
hsa-miR-543	hsa-miR-543	MIMAT0004954	mir-329	Homo sapiens
hsa-miR-545	hsa-miR-545-3p	MIMAT0003165	mir-95	Homo sapiens
hsa-miR-548a-3p	hsa-miR-548a-3p	MIMAT0003251	mir-548	Homo sapiens
hsa-miR-548a-5p	hsa-miR-548a-5p	MIMAT0004803	mir-548	Homo sapiens
hsa-miR-548b-5p	hsa-miR-548b-5p	MIMAT0004798	mir-548	Homo sapiens
hsa-miR-548c-5p	hsa-miR-548c-5p	MIMAT0004806	mir-548	Homo sapiens
hsa-miR-548d-5p	hsa-miR-548d-5p	MIMAT0004812	mir-548	Homo sapiens
hsa-miR-550	hsa-miR-550a-5p	MIMAT0004800	mir-550	Homo sapiens
hsa-miR-550*	hsa-miR-550a-3p	MIMAT0003257	mir-550	Homo sapiens
hsa-miR-551b	hsa-miR-551b-3p	MIMAT0003233	mir-551	Homo sapiens
hsa-miR-551b-3p	hsa-miR-551b-3p	MIMAT0003233	mir-551	Homo sapiens
hsa-miR-556-5p	hsa-miR-556-5p	MIMAT0003220	mir-556	Homo sapiens
hsa-miR-557	hsa-miR-557	MIMAT0003221	mir-557	Homo sapiens
hsa-miR-558	hsa-miR-558	MIMAT0003222	mir-558	Homo sapiens
hsa-miR-559	hsa-miR-559	MIMAT0003223	mir-559	Homo sapiens
hsa-miR-564	hsa-miR-564	MIMAT0003228	mir-564	Homo sapiens
hsa-miR-565				Homo sapiens
hsa-miR-570	hsa-miR-570-3p	MIMAT0003235	mir-548	Homo sapiens
hsa-miR-571	hsa-miR-571	MIMAT0003236	mir-571	Homo sapiens
hsa-miR-572	hsa-miR-572	MIMAT0003237	mir-572	Homo sapiens
hsa-miR-574	hsa-miR-574-3p	MIMAT0003239	mir-574	Homo sapiens
hsa-miR-574-3p	hsa-miR-574-3p	MIMAT0003239	mir-574	Homo sapiens
hsa-miR-574-5p	hsa-miR-574-5p	MIMAT0004795	mir-574	Homo sapiens
hsa-miR-575	hsa-miR-575	MIMAT0003240	mir-575	Homo sapiens
hsa-miR-576-3p	hsa-miR-576-3p	MIMAT0004796	mir-576	Homo sapiens
hsa-miR-576-5p	hsa-miR-576-5p	MIMAT0003241	mir-576	Homo sapiens
hsa-miR-577	hsa-miR-577	MIMAT0003242	mir-577	Homo sapiens
hsa-miR-578	hsa-miR-578	MIMAT0003243	mir-578	Homo sapiens
hsa-miR-579	hsa-miR-579-3p	MIMAT0003244	mir-548	Homo sapiens
hsa-miR-580	hsa-miR-580	MIMAT0003245	mir-580	Homo sapiens
hsa-miR-582	hsa-miR-582-5p	MIMAT0003247	mir-582	Homo sapiens
hsa-miR-582-3p	hsa-miR-582-3p	MIMAT0004797	mir-582	Homo sapiens
hsa-miR-582-5p	hsa-miR-582-5p	MIMAT0003247	mir-582	Homo sapiens
hsa-miR-583	hsa-miR-583	MIMAT0003248	mir-583	Homo sapiens
hsa-miR-584	hsa-miR-584-5p	MIMAT0003249	mir-584	Homo sapiens
hsa-miR-584-5p	hsa-miR-584-5p	MIMAT0003249	mir-584	Homo sapiens
hsa-miR-585	hsa-miR-585	MIMAT0003250		Homo sapiens
hsa-miR-590	hsa-miR-590-5p	MIMAT0003258	mir-590	Homo sapiens
hsa-miR-590-5p	hsa-miR-590-5p	MIMAT0003258	mir-590	Homo sapiens
hsa-miR-591	hsa-miR-591	MIMAT0003259	mir-591	Homo sapiens
hsa-miR-593	hsa-miR-593-3p	MIMAT0004802	mir-593	Homo sapiens
hsa-miR-593*	hsa-miR-593-5p	MIMAT0003261	mir-593	Homo sapiens
hsa-miR-594				Homo sapiens
hsa-miR-595	hsa-miR-595	MIMAT0003263	mir-595	Homo sapiens
hsa-miR-596	hsa-miR-596	MIMAT0003264	mir-596	Homo sapiens
hsa-miR-598	hsa-miR-598	MIMAT0003266	mir-598	Homo sapiens
hsa-miR-601	hsa-miR-601	MIMAT0003269	mir-601	Homo sapiens
hsa-miR-603	hsa-miR-603	MIMAT0003271	mir-548	Homo sapiens
hsa-miR-605	hsa-miR-605	MIMAT0003273	mir-605	Homo sapiens
hsa-miR-608	hsa-miR-608	MIMAT0003276	mir-608	Homo sapiens
hsa-miR-609	hsa-miR-609	MIMAT0003277	mir-609	Homo sapiens
hsa-miR-610	hsa-miR-610	MIMAT0003278	mir-610	Homo sapiens
hsa-miR-612	hsa-miR-612	MIMAT0003280	mir-612	Homo sapiens
hsa-miR-614	hsa-miR-614	MIMAT0003282	mir-614	Homo sapiens
hsa-miR-615-3p	hsa-miR-615-3p	MIMAT0003283	mir-615	Homo sapiens
hsa-miR-616*	hsa-miR-616-5p	MIMAT0003284	mir-616	Homo sapiens
hsa-miR-617	hsa-miR-617	MIMAT0003286	mir-617	Homo sapiens
hsa-miR-618	hsa-miR-618	MIMAT0003287	mir-618	Homo sapiens
hsa-miR-619	hsa-miR-619	MIMAT0003288	mir-619	Homo sapiens
hsa-miR-619-5p	hsa-miR-619-5p	MIMAT0026622	mir-619	Homo sapiens
hsa-miR-621	hsa-miR-621	MIMAT0003290	mir-621	Homo sapiens
hsa-miR-622	hsa-miR-622	MIMAT0003291	mir-622	Homo sapiens
hsa-miR-624*	hsa-miR-624-5p	MIMAT0003293	mir-624	Homo sapiens
hsa-miR-625	hsa-miR-625-5p	MIMAT0003294	mir-625	Homo sapiens
hsa-miR-625*	hsa-miR-625-3p	MIMAT0004808	mir-625	Homo sapiens
hsa-miR-627	hsa-miR-627-5p	MIMAT0003296	mir-627	Homo sapiens
hsa-miR-628	hsa-miR-628-3p	MIMAT0003297	mir-628	Homo sapiens
hsa-miR-628-3p	hsa-miR-628-3p	MIMAT0003297	mir-628	Homo sapiens
hsa-miR-628-5p	hsa-miR-628-5p	MIMAT0004809	mir-628	Homo sapiens
hsa-miR-629	hsa-miR-629-5p	MIMAT0004810	mir-629	Homo sapiens
hsa-miR-629*	hsa-miR-629-3p	MIMAT0003298	mir-629	Homo sapiens
hsa-miR-630	hsa-miR-630	MIMAT0003299	mir-630	Homo sapiens
hsa-miR-631	hsa-miR-631	MIMAT0003300	mir-631	Homo sapiens
hsa-miR-632	hsa-miR-632	MIMAT0003302	mir-632	Homo sapiens
hsa-miR-634	hsa-miR-634	MIMAT0003304	mir-634	Homo sapiens
hsa-miR-635	hsa-miR-635	MIMAT0003305	mir-635	Homo sapiens
hsa-miR-635*				Homo sapiens
hsa-miR-636	hsa-miR-636	MIMAT0003306	mir-636	Homo sapiens
hsa-miR-637	hsa-miR-637	MIMAT0003307	mir-637	Homo sapiens
hsa-miR-638	hsa-miR-638	MIMAT0003308	mir-638	Homo sapiens
hsa-miR-639	hsa-miR-639	MIMAT0003309	mir-639	Homo sapiens
hsa-miR-640	hsa-miR-640	MIMAT0003310	mir-640	Homo sapiens
hsa-miR-642	hsa-miR-642a-5p	MIMAT0003312	mir-642	Homo sapiens
hsa-miR-642b	hsa-miR-642b-3p	MIMAT0018444	mir-642	Homo sapiens
hsa-miR-643	hsa-miR-643	MIMAT0003313	mir-643	Homo sapiens
hsa-miR-644	hsa-miR-644a	MIMAT0003314	mir-644	Homo sapiens
hsa-miR-645	hsa-miR-645	MIMAT0003315	mir-645	Homo sapiens
hsa-miR-646	hsa-miR-646	MIMAT0003316	mir-646	Homo sapiens
hsa-miR-647	hsa-miR-647	MIMAT0003317	mir-647	Homo sapiens
hsa-miR-648	hsa-miR-648	MIMAT0003318	mir-648	Homo sapiens
hsa-miR-649	hsa-miR-649	MIMAT0003319	mir-649	Homo sapiens
hsa-miR-652	hsa-miR-652-3p	MIMAT0003322	mir-652	Homo sapiens
hsa-miR-652-3p	hsa-miR-652-3p	MIMAT0003322	mir-652	Homo sapiens
hsa-miR-654-3p	hsa-miR-654-3p	MIMAT0004814	mir-654	Homo sapiens
hsa-miR-654-5p	hsa-miR-654-5p	MIMAT0003330	mir-654	Homo sapiens
hsa-miR-657	hsa-miR-657	MIMAT0003335	mir-657	Homo sapiens
hsa-miR-658	hsa-miR-658	MIMAT0003336	mir-658	Homo sapiens
hsa-miR-659	hsa-miR-659-3p	MIMAT0003337		Homo sapiens
hsa-miR-660	hsa-miR-660-5p	MIMAT0003338	mir-188	Homo sapiens
hsa-miR-660-5p	hsa-miR-660-5p	MIMAT0003338	mir-188	Homo sapiens
hsa-miR-662	hsa-miR-662	MIMAT0003325	mir-662	Homo sapiens
hsa-miR-663	hsa-miR-663a	MIMAT0003326	mir-663	Homo sapiens
hsa-miR-663a	hsa-miR-663a	MIMAT0003326	mir-663	Homo sapiens
hsa-miR-664	hsa-miR-664-3p	MIMAT0005949	mir-664	Homo sapiens
hsa-miR-664a-3p	hsa-miR-664a-3p	MIMAT0005949	mir-664	Homo sapiens
hsa-miR-664a-5p	hsa-miR-664a-5p	MIMAT0005948	mir-664	Homo sapiens
hsa-miR-665	hsa-miR-665	MIMAT0004952	mir-665	Homo sapiens
hsa-miR-668	hsa-miR-668	MIMAT0003881	mir-668	Homo sapiens
hsa-miR-671	hsa-miR-671-5p	MIMAT0003880	mir-671	Homo sapiens
hsa-miR-671-3p	hsa-miR-671-3p	MIMAT0004819	mir-671	Homo sapiens
hsa-miR-671-5p	hsa-miR-671-5p	MIMAT0003880	mir-671	Homo sapiens
hsa-miR-675	hsa-miR-675-5p	MIMAT0004284	mir-675	Homo sapiens
hsa-miR-7	hsa-miR-7-5p	MIMAT0000252	mir-7	Homo sapiens
hsa-miR-7-1	hsa-miR-7-5p	MIMAT0000252	mir-7	Homo sapiens
hsa-miR-7-1*	hsa-miR-7-1-3p	MIMAT0004553	mir-7	Homo sapiens
hsa-miR-708-5p	hsa-miR-708-5p	MIMAT0004926	mir-708	Homo sapiens
hsa-miR-720	hsa-miR-720	MIMAT0005954	mir-720	Homo sapiens
hsa-miR-744	hsa-miR-744-5p	MIMAT0004945	mir-744	Homo sapiens
hsa-miR-744*	hsa-miR-744-3p	MIMAT0004946	mir-744	Homo sapiens
hsa-miR-744-5p	hsa-miR-744-5p	MIMAT0004945	mir-744	Homo sapiens
hsa-miR-760	hsa-miR-760	MIMAT0004957	mir-760	Homo sapiens
hsa-miR-762	hsa-miR-762	MIMAT0010313	mir-762	Homo sapiens
hsa-miR-765	hsa-miR-765	MIMAT0003945	mir-765	Homo sapiens
hsa-miR-766	hsa-miR-766-3p	MIMAT0003888	mir-766	Homo sapiens
hsa-miR-768				Homo sapiens
hsa-miR-768-3p				Homo sapiens
hsa-miR-768-3p	NULL	NULL	NULL	Homo sapiens
hsa-miR-768-5p				Homo sapiens
hsa-miR-769-3p	hsa-miR-769-3p	MIMAT0003887	mir-769	Homo sapiens
hsa-miR-769-5p	hsa-miR-769-5p	MIMAT0003886	mir-769	Homo sapiens
hsa-miR-770-5p	hsa-miR-770-5p	MIMAT0003948	mir-770	Homo sapiens
hsa-miR-801				Homo sapiens
hsa-miR-874	hsa-miR-874	MIMAT0004911	mir-874	Homo sapiens
hsa-miR-875-5p	hsa-miR-875-5p	MIMAT0004922	mir-875	Homo sapiens
hsa-miR-877	hsa-miR-877-5p	MIMAT0004949	mir-877	Homo sapiens
hsa-miR-877-5p	hsa-miR-877-5p	MIMAT0004949	mir-877	Homo sapiens
hsa-miR-885-5p	hsa-miR-885-5p	MIMAT0004947	mir-885	Homo sapiens
hsa-miR-886-3p				Homo sapiens
hsa-miR-886-5p				Homo sapiens
hsa-miR-887	hsa-miR-887	MIMAT0004951	mir-887	Homo sapiens
hsa-miR-888*	hsa-miR-888-3p	MIMAT0004917	mir-743	Homo sapiens
hsa-miR-891a	hsa-miR-891a-5p	MIMAT0004902	mir-891	Homo sapiens
hsa-miR-891a-5p	hsa-miR-891a-5p	MIMAT0004902	mir-891	Homo sapiens
hsa-miR-892b	hsa-miR-892b	MIMAT0004918	mir-743	Homo sapiens
hsa-miR-9	hsa-miR-9-5p	MIMAT0000441	mir-9	Homo sapiens
hsa-miR-9*	hsa-miR-9-3p	MIMAT0000442	mir-9	Homo sapiens
hsa-miR-9-5p	hsa-miR-9-5p	MIMAT0000441	mir-9	Homo sapiens
hsa-miR-92	hsa-miR-92a-3p	MIMAT0000092	mir-25	Homo sapiens
hsa-miR-921	hsa-miR-921	MIMAT0004971	mir-921	Homo sapiens
hsa-miR-923				Homo sapiens
hsa-miR-924	hsa-miR-924	MIMAT0004974	mir-924	Homo sapiens
hsa-miR-92a	hsa-miR-92a-3p	MIMAT0000092	mir-25	Homo sapiens
hsa-miR-92a-1*	hsa-miR-92a-1-5p	MIMAT0004507	mir-25	Homo sapiens
hsa-miR-92a-2*	hsa-miR-92a-2-5p	MIMAT0004508	mir-25	Homo sapiens
hsa-miR-92a-3p	hsa-miR-92a-3p	MIMAT0000092	mir-25	Homo sapiens
hsa-miR-92b	hsa-miR-92b-3p	MIMAT0003218	mir-25	Homo sapiens
hsa-miR-92b-3p	hsa-miR-92b-3p	MIMAT0003218	mir-25	Homo sapiens
hsa-miR-92b-5p	hsa-miR-92b-5p	MIMAT0004792	mir-25	Homo sapiens
hsa-miR-93	hsa-miR-93-5p	MIMAT0000093	mir-17	Homo sapiens
hsa-miR-93*	hsa-miR-93-3p	MIMAT0004509	mir-17	Homo sapiens
hsa-miR-93-5p	hsa-miR-93-5p	MIMAT0000093	mir-17	Homo sapiens
hsa-miR-934	hsa-miR-934	MIMAT0004977	mir-934	Homo sapiens
hsa-miR-936	hsa-miR-936	MIMAT0004979	mir-936	Homo sapiens
hsa-miR-939	hsa-miR-939-5p	MIMAT0004982	mir-939	Homo sapiens
hsa-miR-940	hsa-miR-940	MIMAT0004983	mir-940	Homo sapiens
hsa-miR-942	hsa-miR-942	MIMAT0004985	mir-942	Homo sapiens
hsa-miR-942-5p	hsa-miR-942-5p	MIMAT0004985	mir-942	Homo sapiens
hsa-miR-943	hsa-miR-943	MIMAT0004986	mir-943	Homo sapiens
hsa-miR-95	hsa-miR-95-3p	MIMAT0000094	mir-95	Homo sapiens
hsa-miR-95	hsa-miR-95	MIMAT0000094	mir-95	Homo sapiens
hsa-miR-96	hsa-miR-96-5p	MIMAT0000095	mir-96	Homo sapiens
hsa-miR-96*	hsa-miR-96-3p	MIMAT0004510	mir-96	Homo sapiens
hsa-miR-96-5p	hsa-miR-96-5p	MIMAT0000095	mir-96	Homo sapiens
hsa-miR-98	hsa-miR-98	MIMAT0000096	let-7	Homo sapiens
hsa-miR-98-5p	hsa-miR-98-5p	MIMAT0000096	let-7	Homo sapiens
hsa-miR-99a	hsa-miR-99a-5p	MIMAT0000097	mir-99	Homo sapiens
hsa-miR-99a*	hsa-miR-99a-3p	MIMAT0004511	mir-99	Homo sapiens
hsa-miR-99a-5p	hsa-miR-99a-5p	MIMAT0000097	mir-10	Homo sapiens
hsa-miR-99b	hsa-miR-99b-5p	MIMAT0000689	mir-99	Homo sapiens
hsa-miR-99b*	hsa-miR-99b-3p	MIMAT0004678	mir-99	Homo sapiens
hsa-miR-99b-5p	hsa-miR-99b-5p	MIMAT0000689	mir-10	Homo sapiens
mmu-let-7b	mmu-let-7b-5p	MIMAT0000522	let-7	Mus musculus
mmu-let-7i	mmu-let-7i-5p	MIMAT0000122	let-7	Mus musculus
mmu-miR-122	mmu-miR-122-5p	MIMAT0000246	mir-122	Mus musculus
mmu-miR-122	mmu-miR-122-5p	MIMAT0000246	mir-122	mouse xenograft model
mmu-miR-122-5p	mmu-miR-122-5p	MIMAT0000246	mir-122	Mus musculus
mmu-miR-126				Mus musculus
mmu-miR-128a	mmu-miR-128-3p	MIMAT0000140	mir-128	Mus musculus
mmu-miR-146	mmu-miR-146a-5p	MIMAT0000158	mir-146	Mus musculus
mmu-mir-146a-5p	mmu-miR-146a-5p	MIMAT0000158	mir-146	calsequestrin (csq)-tg mouse
mmu-miR-192-5p	mmu-miR-192-5p	MIMAT0000517	mir-192	Mus musculus
mmu-miR-199a-3p	mmu-miR-199a-3p	MIMAT0000230	mir-199	Mus musculus
mmu-miR-21	mmu-miR-21a-5p	MIMAT0000530	mir-21	Mus musculus
mmu-miR-222	mmu-miR-222-3p	MIMAT0000670	mir-221	Mus musculus
mmu-miR-26b-5p	mmu-miR-26b-5p	MIMAT0000534	mir-26	Mus musculus
mmu-miR-28-5p	mmu-miR-28a-5p	MIMAT0000653	mir-28	Mus musculus
mmu-miR-29b	mmu-miR-29b-3p	MIMAT0000127	mir-29	Mus musculus
mmu-miR-32-5p	mmu-miR-32-5p	MIMAT0000654	mir-32	Mus musculus
mmu-miR-342-3p	mmu-miR-342-3p	MIMAT0000590	mir-342	calsequestrin (csq)-tg mouse
mmu-miR-342-3p	mmu-miR-342-3p	MIMAT0000590	mir-342	Mus musculus
mmu-miR-424	mmu-miR-322-5p	MIMAT0000548	mir-322	Mus musculus
oar-miR-15b				Ovis aries
oar-miR-19b	oar-miR-19b	MIMAT0030041	mir-19	Ovis aries
oar-miR-20a				Ovis aries
oar-miR-9				Ovis aries
rno-let-7b	rno-let-7b-5p	MIMAT0000775	let-7	Rattus norvegicus
rno-miR-103	rno-miR-103-3p	MIMAT0000824	mir-103	Rattus norvegicus
rno-miR-133a	rno-miR-133a-3p	MIMAT0000839	mir-133	sprague dawley rats
rno-miR-133b	rno-miR-133b-3p	MIMAT0003126	mir-133	sprague dawley rats
rno-miR-136	rno-miR-136-5p	MIMAT0000842	mir-136	rat model
rno-miR-142-5p	rno-miR-142-5p	MIMAT0000847	mir-142	male albino sprague 
rno-miR-146b	rno-miR-148b-3p	MIMAT0000579	mir-146	Rattus norvegicus
rno-miR-148a	NULL	NULL	mir-148	Rattus norvegicus
rno-miR-15a	rno-miR-15a-5p	MIMAT0035728	mir-15	rat model
rno-miR-199a-3p	rno-miR-199a-5p	MIMAT0000872	mir-199	rat model
rno-miR-19b	rno-miR-19b-3p	MIMAT0000788	mir-19	rat model
rno-miR-19b-3p	rno-miR-19b-3p	MIMAT0000788	mir-19	male albino sprague 
rno-miR-206	rno-miR-206-3p	MIMAT0000879	mir-1	male f344 rats model
rno-miR-210	rno-miR-210-3p	MIMAT0000881	mir-210	male f344 rats model
rno-miR-221	rno-miR-221-3p	MIMAT0000890	mir-221	Rattus norvegicus
rno-miR-221-3p	rno-miR-221-3p	MIMAT0000890	mir-221	male albino sprague 
rno-miR-223-3p	rno-miR-223-3p	MIMAT0000892	mir-223	male albino sprague 
rno-miR-32	rno-miR-32-5p	MIMAT0000811	mir-32	rat model
rno-miR-322-3p	rno-miR-322-3p	MIMAT0000547	mir-322	male albino sprague 
rno-miR-324-3p	rno-miR-324-3p	MIMAT0000554	mir-324	male albino sprague 
rno-miR-421-3p	rno-miR-421-3p	MIMAT0017175	mir-95	male albino sprague 
