Full	Mean	Lower_CI	Median	Upper_CI
7mer-m8|8|8mer_Kd	0.0491083179640633	0.045058238265632	0.0154332075242445	0.0448025370778865	0.11678394155511
7mer-A1|26|8mer_Kd	0.230926582446898	0.222303514209535	0.047960441256102	0.231135330980949	0.650639130812902
7mer-A1|25|8mer_Kd	0.1308364321325	0.124445204115691	0.0331584952526137	0.135924541298113	0.425137060569235
7mer-A1|24|8mer_Kd	0.0656798925044898	0.0588912994426693	0.0194408925809876	0.0568613071398716	0.211128614270676
7mer-A1|23|8mer_Kd	0.146160807863517	0.12531913679241	0.032547001848622	0.137866378123928	0.425184362236318
7mer-A1|22|8mer_Kd	0.127231774224332	0.108486336698395	0.0308714696684457	0.114280127070576	0.255691312354477
7mer-A1|21|8mer_Kd	0.162062999070344	0.161077907480408	0.0340337669077055	0.180295809532284	0.451998277117237
7mer-A1|20|8mer_Kd	0.0808635356260381	0.0756875667128282	0.026000464700599	0.0723824273719632	0.271990537284288
7mer-A1|18|8mer_Kd	0.173349643300319	0.163085315894422	0.0479410921384559	0.174217462315407	0.51706477621751
7mer-A1|16|8mer_Kd	0.094834453460258	0.0892134239672555	0.033377727490826	0.090955705204618	0.254318975078121
7mer-A1|15|8mer_Kd	0.119242155678981	0.110841838220363	0.0345612418937308	0.106132952152377	0.399402562170084
7mer-A1|14|8mer_Kd	0.0768242126455721	0.0717002346901954	0.0234083361518993	0.0730029743785735	0.216746040358382
7mer-A1|12|8mer_Kd	0.0868074896851445	0.0813618551183669	0.0235394069648098	0.0888817465496844	0.242361173992764
7mer-A1|11|8mer_Kd	0.140606732198651	0.121276278801382	0.0324615225465104	0.122504285973724	0.426469421970673
7mer-A1|9|8mer_Kd	0.0602028192671124	0.051882066245654	0.0196208646978819	0.0506197656941204	0.186931190636677
6mer|27|8mer_Kd	0.170755264254966	0.158910958058873	0.0484227933070445	0.165436961594884	0.436061076689038
6mer|26|8mer_Kd	0.329071691359802	0.324809064560779	0.100166581384022	0.346069531435852	0.805528320917947
6mer|25|8mer_Kd	0.121368546010002	0.119015981239446	0.0353086016436316	0.115596297205048	0.45246426090673
6mer|24|8mer_Kd	0.0277538817274323	0.0258877808429396	0.00943222672209668	0.0267024272185943	0.0932624728633788
6mer|23|8mer_Kd	0.105954926401698	0.0996695633688857	0.0395486245518994	0.0988957103473858	0.246235314986233
