Full	Mean	Lower_CI	Median	Upper_CI
8mer|21|Supp_Kd	0.00154958202670338	0.000876750975267172	3.7677239157777e-05	0.00117559895727435	0.00420916233001367
8mer|20|Supp_Kd	0.00389901512545056	0.00223410213802147	0.000146087767417955	0.00356616751716608	0.00919157821073866
8mer|19|Supp_Kd	0.00161213737541606	0.000897205288678298	5.22835527418912e-05	0.00138090321567087	0.00429181973201098
8mer|18|Supp_Kd	0.00271381722317543	0.00156806357575408	5.45147007744022e-05	0.00251932221787037	0.00695043608644468
8mer|17|Supp_Kd	0.00371975831103156	0.00200856211193222	0.000100635022796518	0.00302458011672052	0.00980994074687453
8mer|16|Supp_Kd	0.00460873819322187	0.00260119146244905	0.000155601969847299	0.00388425145299142	0.0106302324339032
8mer|15|Supp_Kd	0.00361671176542687	0.00190401975245007	0.000103951368271028	0.00294929065151903	0.00865600404112752
8mer|14|Supp_Kd	0.00476939956497849	0.00272874965924787	0.000145234180809441	0.00406513428804377	0.0123928653780599
8mer|13|Supp_Kd	0.00301741623158147	0.00157997956578142	8.24238850983297e-05	0.00234794746115053	0.00776001895095195
8mer|11|Supp_Kd	0.00417044820880241	0.0025052096242163	0.000123403523759082	0.00387335241860078	0.0106150340885978
8mer|10|Supp_Kd	0.0023516538736964	0.00131281078193346	8.81862653984215e-05	0.00202468155692574	0.00515628637361151
8mer|9|Supp_Kd	0.00198839375418404	0.00107654626418531	6.43588440906003e-05	0.00175116845290134	0.00665068758699786
8mer|8|Supp_Kd	0.0511841014674504	0.0260281489144626	0.0011973587480493	0.0354710422240668	0.140159486659238
7mer-m8|28|Supp_Kd	0.00262674633949022	0.00163056047813249	0.000140631998581692	0.00265218160151515	0.00425012049325144
7mer-m8|27|Supp_Kd	0.00675407036281101	0.0041310360721677	0.000318591480589959	0.00620756138754371	0.0126792006554985
7mer-m8|26|Supp_Kd	0.00785509781427356	0.00466553092019793	0.000343212897552182	0.00735382437674466	0.0160820447485579
7mer-m8|25|Supp_Kd	0.00465801228651662	0.00290389969380004	0.000199060746090069	0.0041941801085781	0.0103776933799607
7mer-m8|24|Supp_Kd	0.00341579877777819	0.00198538872186448	0.000114720980002948	0.0030033526954716	0.00756951078888876
7mer-m8|23|Supp_Kd	0.00268611455133867	0.00157111649106587	0.000127713958290104	0.00237222649751472	0.00551706871869708
7mer-m8|22|Supp_Kd	0.00348118352537897	0.00205309910438741	0.000115756817914054	0.00311174067296114	0.00776135998811157
7mer-m8|21|Supp_Kd	0.00445497196847704	0.00266945868402232	0.000161809334718392	0.00420676739128754	0.00926353259979953
7mer-m8|20|Supp_Kd	0.004120536213785	0.00240544848808261	0.000169309701616488	0.00372333271681245	0.00792232679756106
7mer-m8|19|Supp_Kd	0.00290114584697778	0.00165117595039593	9.62424516306012e-05	0.00248015880432909	0.0056668466976913
7mer-m8|18|Supp_Kd	0.0038108046095893	0.00210405566879522	9.793109213614e-05	0.00334048411416999	0.00786473896820458
7mer-m8|17|Supp_Kd	0.00161985118317377	0.000887982020755298	5.62285347664947e-05	0.00127899512914865	0.00376904500883259
