Full	Mean	Lower_CI	Median	Upper_CI
11mer-m10.20_Kd	0.0373211364659902	0.0374630896961892	0.0308097509554468	0.0373414360857276	0.0448015240611507
11mer-m10.20|13|Supp_Kd	0.0238923976281559	0.0237606826047705	0.00837427460901736	0.0211122236970507	0.0895449323210439
11mer-m10.20|14|Supp_Kd	0.033675785541153	0.0298077194107347	0.00662683907304082	0.0310115310144754	0.103862515007982
11mer-m10.20|15|Comp_Kd	0.101234527181766	0.100656062938955	0.0283650530291438	0.102600875360366	0.397144449227057
11mer-m10.20|17|Offset_Kd	0.0969517600977303	0.0918656629898371	0.034744739994829	0.0923924160043939	0.253875183803016
11mer-m11.21_Kd	0.0371805169418978	0.0378230109848293	0.0307598509424004	0.0377739077002064	0.0455880241608793
11mer-m11.21|10|Comp_Kd	0.135051118093651	0.119269730487451	0.0412063516172206	0.104384656579724	0.319173057082504
11mer-m11.21|14|Offset_Kd	0.0911831313253783	0.085836284045111	0.0245988315088495	0.0865015134894671	0.324179676227632
11mer-m11.21|14|Supp_Kd	0.0201680905625201	0.020093304113862	0.00866708474283667	0.0180022568567691	0.0638546747445294
11mer-m11.21|19|Comp_Kd	0.0629002027069183	0.054663635596536	0.0177770041469495	0.0519836764851639	0.153729512787004
11mer-m11.21|19|Offset_Kd	0.0967374915813592	0.0892336985851028	0.0256432857490451	0.0906020775069223	0.316754248115831
11mer-m11.21|25|Offset_Kd	0.121753043388893	0.104962037172562	0.0411003008710241	0.0958220446245326	0.393770770395056
11mer-m12.22_Kd	0.0738138017093372	0.0740447467079914	0.0635140723383535	0.0741044889298158	0.0868895186077469
11mer-m12.22|11|Comp_Kd	0.0387288428920834	0.0367641383579996	0.0163261647846623	0.0334180581284715	0.101803948413544
11mer-m12.22|14|Offset_Kd	0.0199687489780637	0.0180586051919222	0.00169610019496254	0.0172501997008664	0.161249894451214
11mer-m12.22|20|Comp_Kd	0.095269209427139	0.0887709861394493	0.0326100741728397	0.0798859018933919	0.311859584890729
11mer-m12.22|23|Offset_Kd	0.18860424461204	0.15911449012548	0.0552913939153996	0.174810031595934	0.514678293626977
11mer-m12.22|23|Supp_Kd	0.160163801529512	0.138382355712581	0.0512024197526496	0.140779179235561	0.442947237271049
11mer-m12.22|24|Supp_Kd	0.142142485299508	0.130708493514124	0.0378619983465451	0.135387844903488	0.391166263843869
11mer-m12.22|25|Offset_Kd	0.124433308933291	0.112203298639324	0.0377168919449651	0.112891820908744	0.356651558887935
11mer-m12.22|26|Comp_Kd	0.213945356118921	0.194091246970063	0.064974877815954	0.202504676416844	0.593977535283592
11mer-m12.22|26|Offset_Kd	0.101813630580167	0.100057092272908	0.0366949047050754	0.0957605194962312	0.304596744780921
11mer-m12.22|26|Supp_Kd	0.0875411250288297	0.0836660246278705	0.0235253893142471	0.0792526791067233	0.350710497294522
11mer-m12.22|28|Offset_Kd	0.111104456684886	0.118701141551576	0.0268171750681261	0.121152914849205	0.428878869128539
11mer-m12.22|8|Supp_Kd	0.0410460609599416	0.0361020761765748	0.0120540823700023	0.0357753940957132	0.120491307137607
11mer-m9.19_Kd	0.0340177659476066	0.0344813639059195	0.0269693140733869	0.0342906249112426	0.0420283093890712
11mer-m9.19|10|Offset_Kd	0.190518174482679	0.166187520848172	0.0493725042783852	0.154092574398221	0.579013068110228
11mer-m9.19|12|Supp_Kd	0.0156379974342916	0.0142282389220389	0.00421090852628419	0.0150146442148615	0.0459674280774307
11mer-m9.19|16|Offset_Kd	0.0830685803849061	0.0801366273049395	0.03488206003568	0.0749281486146051	0.242927779852736
4mer-m10.13_Kd	1.24224497466259	1.24174361897816	1.23266484382266	1.23857962881722	1.25411037692986
4mer-m10.13|10|Comp_Kd	0.537855284105008	0.536111404468725	0.477058746325107	0.536502167686215	0.60411616336676
4mer-m10.13|10|Offset_Kd	0.417887055740092	0.419951382045676	0.362290087676131	0.418749001221587	0.483894290797578
4mer-m10.13|10|Supp_Kd	0.0663196412954604	0.0666806071344404	0.0592622814019948	0.0670753359234239	0.0739795368198796
