Full	Mean	Lower_CI	Median	Upper_CI
10mer-m9.18|23|Comp_Kd	0.0524362056830907	0.0424421747468881	0.0110835130424303	0.042236375403956	0.165756043094705
11mer-m10.20_Kd	0.445338531284879	0.398351656883094	0.181261420896856	0.429086793318005	0.718895850003201
11mer-m10.20|11|Offset_Kd	0.0341585685045806	0.0297512457708343	0.0056457795255999	0.0323918574124252	0.0993548511443508
11mer-m10.20|13|Offset_Kd	0.0224668125778681	0.0206660371159262	0.00398737019717914	0.0212417012508904	0.0981081934060975
11mer-m11.21_Kd	0.478239298427811	0.445871153009419	0.227644297423787	0.458733665180418	0.67070514302365
11mer-m12.22_Kd	0.527519823805364	0.502772713383677	0.278542301542441	0.506178959705332	0.815396931870475
11mer-m12.22|9|Offset_Kd	0.0524408451366869	0.0369900031319043	0.0107368591022205	0.0338640721939493	0.199404984715346
11mer-m13.23_Kd	0.459352689610815	0.430124887048694	0.225101694277373	0.45378867239551	0.719161400303862
11mer-m9.19_Kd	0.326657227134574	0.300136101065581	0.148882203052539	0.321588991946266	0.490070052031449
11mer-m9.19|15|Supp_Kd	0.037535484862907	0.0339999988985098	0.00394333956669409	0.0338920403255361	0.288820288996135
4mer-m10.13_Kd	0.588037800349703	0.564022953464573	0.47561885644661	0.591408265021161	0.607103960786378
4mer-m10.13|10|Comp_Kd	0.071273929135062	0.069539801802402	0.057607030829918	0.0704674076399071	0.078697548948261
4mer-m10.13|10|Offset_Kd	0.0455010845942348	0.043762623265087	0.03511936576057	0.0440999519059325	0.052104065052404
4mer-m10.13|10|Supp_Kd	0.0111326888796826	0.0105874576858605	0.00732300674953073	0.0108956588800533	0.0137650980971201
4mer-m10.13|11|Comp_Kd	0.233021756469211	0.24010475456083	0.195814292459777	0.234219207149454	0.348057077081616
4mer-m10.13|11|Offset_Kd	0.0806189782574809	0.0820495361739004	0.0700623023402362	0.0815657814203365	0.103738621722885
4mer-m10.13|11|Supp_Kd	0.0212239406373174	0.0208695321070716	0.0177618385343853	0.0209237224768417	0.0243081823832972
4mer-m10.13|12|Comp_Kd	0.167083518764062	0.163606706613589	0.130671806055965	0.163953608412186	0.202715510996935
4mer-m10.13|12|Offset_Kd	0.0711137002496604	0.072315960740372	0.0567087453045457	0.0723349339582678	0.0913363312152379
4mer-m10.13|12|Supp_Kd	0.0169036030419876	0.0163863215708411	0.0138803261658678	0.0163407285779382	0.0197770726939253
4mer-m10.13|13|Comp_Kd	0.158622348706626	0.156250212625352	0.127444243311621	0.156723773439817	0.192857260332419
4mer-m10.13|13|Offset_Kd	0.0699851928070186	0.0680910592004024	0.056192349684147	0.0693540760497227	0.0802436788896632
4mer-m10.13|13|Supp_Kd	0.0183869281935668	0.0177561095347524	0.014423544844312	0.0179294237138658	0.0208901925893886
4mer-m10.13|14|Comp_Kd	0.147237439231247	0.153069284149723	0.119453902538594	0.148497666224064	0.220827693123241
4mer-m10.13|14|Offset_Kd	0.0682857261816115	0.067938159405593	0.0576341700643477	0.0680284372335822	0.0778468967262514
4mer-m10.13|14|Supp_Kd	0.0159053633302589	0.0155585277877157	0.0132096037238134	0.0154651111318182	0.0180950964494304
4mer-m10.13|15|Comp_Kd	0.156662236601594	0.159999303986656	0.12763489368451	0.159913537908729	0.202234062642577
4mer-m10.13|15|Offset_Kd	0.0645294890867847	0.064599432468068	0.0542023042197369	0.0642313637115755	0.0783383960183568
4mer-m10.13|15|Supp_Kd	0.0144806718862889	0.0138935436468163	0.0117981077389091	0.0138876435273465	0.0170047110637365
4mer-m10.13|16|Comp_Kd	0.164013290941583	0.171428555447376	0.140447619694501	0.166484703353029	0.233764694053488
